Cultivar,Epithet,Category,Color / Form,Description,Notes,Image URL
Mrs. Jimmy Davis,Camellia japonica 'Mrs Jimmy Davis',J,Red Variegated / Anemone,"JAPONICA.; ACS #542 (1961); 8-year chance seedling, first bloomed 1962; Vigorous, upright and open; American Camellia Yearbook, 1961, p.228, Reg. No.542: An 8 year old chance seedling of Hakurakuten, that first bloomed 1962. The dark green leaves average, 12.5 cm. x 5.5 cm, elliptic, with shallow, broad, almost smooth serrations. Plant growth is vigorous, upright and open. The anemone form flower is 12.5 cm across x 5.5 cm deep with white to very pale pink background with stripes and flecks of pink. The flower has 9-12, notched petals and 120-130 petaloids and yellow stamens.","Mrs Jimmy Davis is a japonica camellia, registered in 1961 (ACS Reg. No. 542). First published in the American Camellia Yearbook. Grown as a 8-year-old chance seedling that first bloomed in 1962. The flowers are anemone in form, displaying red variegated coloring. Each bloom features 130 petaloids. Plant growth is vigorous, upright and open. Foliage features dark green leaves average, 12. As a japonica camellia, Mrs Jimmy Davis is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Mrs. Jimmy Davis' and is registered as 'Mrs Jimmy Davis'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Mrs+Jimmy+Davis
Mrs. Lyman Clark,Camellia japonica 'Mrs Lyman Clarke',J,White Variegated / Peony,"JAPONICA.; Registered 1946; Compact growth; Glennan, 1946, American Camellia Yearbook, p.61: Double peony form, 10-12.5 cm across. Deep rose on petal edges, blending into white at the base, no veins, lines or stripes between the shades as they blend into each other. Clusters of stamens throughout. Blooms mid-season to late. Plant habit, medium, compact growth. Originally purchased at a variety store as an unnamed seedling by Mrs Lyman Clarke, Princess Anne, Virginia, USA. Orthographic errors: ‘Mrs Clark’, ‘Mrs Lyman Clark’. See black and white photo,.","Mrs Lyman Clarke is a japonica camellia, registered in 1946. First published in the American Camellia Yearbook. The flowers are peony in form, displaying white variegated coloring. Growth is compact growth. As a japonica camellia, Mrs Lyman Clarke is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Mrs. Lyman Clark' and is registered as 'Mrs Lyman Clarke'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Mrs+Lyman+Clarke
Muriel Davis,Camellia japonica 'Turner Davis',J,White / Formal Double,"JAPONICA.; ACS #1656 (1980); John; 4-year seedling, first bloomed 1978; Upright, dense and rapid in rate with light green leaves, 10 cm x 4","Turner Davis is a japonica camellia originated by John of Gainesville, Florida, USA, registered in 1980 (ACS Reg. No. 1656). First published in the American Camellia Yearbook. Grown as a 4-year-old seedling that first bloomed in 1978. The flowers are formal double in form, displaying white coloring. Each bloom features 110 petals. Growth is upright, dense and rapid in rate with light green leaves, 10 cm x 4 cm. Foliage features light green leaves, 10 cm x 4 cm. As a japonica camellia, Turner Davis is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Muriel Davis' and is registered as 'Turner Davis'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Turner+Davis
Nightfall,Camellia japonica 'Nightingale',J,White / Semi-double,"JAPONICA.; Registered 1945; Armstrong Nurseries; Armstrong Nurseries Catalogue, [before 1945] as ‘Night-in-gale’: Bright pink marked white. Large, informal semi-double with loose petals. Originated by Armstrong Nurseries, Ontario, California, USA.","Nightingale is a japonica camellia originated by Armstrong Nurseries of Ontario, California, USA, registered in 1945. The flowers are semi-double in form, displaying white coloring. As a japonica camellia, Nightingale is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Nightfall' and is registered as 'Nightingale'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Nightingale
Nina Annulette,Camellia japonica 'Miss Annette',J,Pink / Semi-double,"JAPONICA.; Registered 1964; Upright petals; SCCS., 1964, Camellia Nomenclature, p.87: Deep pink. Large, semi-double with upright petals. Upright, spreading growth. Mid-season blooming. Originated in USA at Jungle Gardens, Avery Island, Louisiana.","Miss Annette is a japonica camellia, registered in 1964. The flowers are semi-double in form, displaying pink coloring. Growth is upright petals. As a japonica camellia, Miss Annette is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Nina Annulette' and is registered as 'Miss Annette'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Miss+Annette
Nina Avery,Camellia japonica 'Nina West',J,Red Variegated / Semi-double,"JAPONICA.; ACS #1806 (1982); W.T. Shepherd; 14-year seedling, first bloomed 1972; Upright and medium with dark green leaves, 11 cm long x 6 cm wide","Nina West is a japonica camellia originated by W.T. Shepherd of North Charleston, South Carolina, USA, registered in 1982 (ACS Reg. No. 1806). First published in the American Camellia Yearbook. Grown as a 14-year-old seedling that first bloomed in 1972. The flowers are semi-double in form, displaying red variegated coloring. Each bloom features 30 petals with yellow anthers and white filaments. Plant growth is upright and medium with dark green leaves, 11 cm long x 6 cm wide. Foliage features dark green leaves, 11 cm long x 6 cm wide. As a japonica camellia, Nina West is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Nina Avery' and is registered as 'Nina West'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Nina+West
No Doubt,Camellia japonica 'Kossuth',S,White / Peony,"SASANQUA.; Registered 1853; Count B. Lechi, Brescia, Italy; Ambroise Verschaffelt, 1853, Catalogue, p.19. No description. Franchetti, 1855, Collezione di Camelie, p.38: Of average size, rounded petals, dark red with wide, white stripes; imbricated. Verschaffelt, 1857, Nouvelle Iconographie, Book III, pl.IV: The amplitude of its outer petals is remarkable, they grow smaller towards the centre, where their form is more or less regular. They are of a beautiful pink, edged and striped with white. A peony form originated by Count B. Lechi, Brescia, Italy. Orthographic errors: ‘Kos­sout’, ‘Kossouth’, ‘Koussout’,.","Kossuth is a sasanqua camellia originated by Count B. Lechi of Brescia, Italy, registered in 1853. The flowers are peony in form, displaying white coloring. As a sasanqua camellia, Kossuth is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'No Doubt' and is registered as 'Kossuth'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Kossuth
Nobelissima,Camellia japonica 'Nobilissima',J,White / Anemone,"JAPONICA.; Registered 1836; Loddiges Catalogue, 1836, p.25. No description. Cels, Paris Nursery Cata­logue, 1836-1837, p.9. No description. Harrison, ed., 1837, The Floricultural Cabinet, vol.V, p.267 as ‘Double White’. Berlèse, 1837, Monographie, ed.1, pp.55, 125: Leaves, 8.5 cm long x 6 cm wide, roundish-oval, a little acute, much dentated, green; bud, oval, obtuse, scales yellowish; flower, large, 7.5 cm across, full, white; exterior petals large, numerous, recurved; those of the interior, smaller, crowded, rumpled; in appearance like Pompone. In the synoptic tables Berlèse gives.","Nobilissima is a japonica camellia, registered in 1836. The flowers are anemone in form, displaying white coloring. Awards and recognition: AGM (Award of Garden Merit) plant by the Royal Horticultural Society in 2012 at H5. As a japonica camellia, Nobilissima is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Nobelissima' and is registered as 'Nobilissima'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Nobilissima
Nuccio's Bella Rosa,Camellia japonica 'Nuccio's Bella Rossa',J,Red / Formal Double,"JAPONICA.; ACS #2572 (2002); Nuccio; Upright, dense and average growth rate; ACS, The Camellia Journal, Aug. 2002, p.21, colour photo p.20, Reg. No.2572. A red, formal double chance seedling with heavy petal texture. Originated by Nuccio's Nurseries, Altadena, Calif., USA, and introduced in their 2000 catalogue. Nuccio’s #9205. American Camellia Yearbook, 2002, p.129, colour photo p.c10. The seedling first bloomed in 1992. Flowers measure 10-11.5 cm across with 80-95 petals. Plant is upright, dense and average growth rate. Flowers early to late. Light green leaves are 10 cm long x 6.5.","Nuccio's Bella Rossa is a japonica camellia originated by Nuccio of Altadena, Calif, registered in 2002 (ACS Reg. No. 2572). First published in the American Camellia Yearbook. It arose as a chance seedling . The flowers are formal double in form, displaying red coloring. Each bloom features 95 petals. Growth is upright, dense and average growth rate. Foliage features Light green leaves are 10 cm long x 6. As a japonica camellia, Nuccio's Bella Rossa is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Nuccio's Bella Rosa' and is registered as 'Nuccio's Bella Rossa'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Nuccio%27s+Bella+Rossa
Nuccio's Cameo,Camellia japonica 'Nuccio's Cameo',J,Pink / Formal Double,"JAPONICA.; ACS #1955 (1983); Nuccio, Altadena, California; 8-year seedling, first bloomed 1977; Upright, dense and medium in rate with dark green leaves, medium si","Nuccio's Cameo is a japonica camellia originated by Nuccio of Altadena, California, USA, registered in 1983 (ACS Reg. No. 1955). First published in the American Camellia Yearbook. Grown as a 8-year-old seedling that first bloomed in 1977. The flowers are formal double in form, displaying pink coloring. Plant growth is upright, dense and medium in rate with dark green leaves, medium sized. Foliage features dark green leaves, medium sized. Awards and recognition: AGM (Award of Garden Merit) plant by the Royal Horticultural Society in 2012 at H5. As a japonica camellia, Nuccio's Cameo is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Nuccio%27s+Cameo
Nuccio's Jewel,Camellia japonica 'Nuccio's Jewel',J,Red / Peony,"JAPONICA.; ACS #1530 (1978); Nuccio; 4-year seedling, first bloomed 1974; Bushy growth; Nuccio’s Nurseries Catalogue, 1978, p.12: (N #7403) -White shaded to orchid pink on edge. Medium loose to full peony. Slow, bushy growth. Midseason to late blooming. American Camellia Yearbook, 1979, p.109, Reg. No.1530: Originated by Nuccio’s Nurseries, Altadena, California, USA. The 4 year old seedling first bloomed 1974. Average flower size, 9-10 cm across. Plant growth is dense and slow with 6 cm x 3.8 cm green leaves. For colour photo see: p. 108, Macoboy, 1981, The Colour Dictionary of.","Nuccio's Jewel is a japonica camellia originated by Nuccio of Altadena, California, USA, registered in 1978 (ACS Reg. No. 1530). First published in the American Camellia Yearbook. Grown as a 4-year-old seedling that first bloomed in 1974. The flowers are peony in form, displaying red coloring. Plant growth is dense and slow with 6 cm x 3. Awards and recognition: AGM (Award of Garden Merit) plant by the Royal Horticultural Society in 1993 at H5. As a japonica camellia, Nuccio's Jewel is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Nuccio%27s+Jewel
Nuccio's Pearl,Camellia japonica 'Nuccio's Pearl',J,Red / Formal Double,"JAPONICA.; ACS #1529 (1978); Nuccio, Altadena, California; 5-year seedling, first bloomed 1973; Upright, dense and medium with dark green leaves, 6 cm long x 3","Nuccio's Pearl is a japonica camellia originated by Nuccio of Altadena, California, USA, registered in 1978 (ACS Reg. No. 1529). First published in the American Camellia Yearbook. Grown as a 5-year-old seedling that first bloomed in 1973. The flowers are formal double in form, displaying red coloring. Plant growth is upright, dense and medium with dark green leaves, 6 cm long x 3. Foliage features dark green leaves, 6 cm long x 3. Awards and recognition: AGM (Award of Garden Merit) plant by the Royal Horticultural Society in 2012 at H5. As a japonica camellia, Nuccio's Pearl is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Nuccio%27s+Pearl
October Affair,Camellia sasanqua 'October Magic',J,Unknown / Unknown,"JAPONICA.; Registered 2011; ACS, Yearbook 2011, p.41 with colour photo. A seedling of Stephanie Golden, originated and patented by Bobby Green, Fairhope, Ala., USA.","October Magic is a japonica camellia, registered in 2011. The flowers are unknown in form, displaying unknown coloring. As a japonica camellia, October Magic is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'October Affair' and is registered as 'October Magic'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=October+Magic
Oki-No-Nami ,Camellia japonica 'Oki-no-nami',J,Red / Semi-double,"JAPONICA.; Registered 1710; Itō, Ihei, 1710, Zōho Chikinshō; Itō, Jukyū, 1739. Honzō Hanamaki’e; Kasuya, Kamegorō, 1859, Tsubaki Irohanayose Irotsuki; Itō, Ko’emon, 1879, Chinkashū: Light pink, striped deeper pink. double. A semi-double, 9-10 cm across, of 14-16 petals in 3 rows, the light pink background covered with deeper pink. fine veining and fading to white at petal margins with random streaks of crimson. Blooms mid-season. Sports: Moshio, Tsurikagari, Ama-obune. Synonyms: ‘Oki-no-nami-tsubaki’, ‘Oki-no-nami’(2). Different reading: ‘Okinonami’. See: Tuyama, 1966, Camellia Cultivars of Japan, pl. 16.","Oki-no-nami is a japonica camellia, registered in 1710. The flowers are semi-double in form, displaying red coloring. Each bloom features 16 petals. As a japonica camellia, Oki-no-nami is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Oki-no-nami
Oki-No-Nami (look alike),Camellia japonica 'Oki-no-nami',J,Red / Semi-double,"JAPONICA.; Registered 1710; Itō, Ihei, 1710, Zōho Chikinshō; Itō, Jukyū, 1739. Honzō Hanamaki’e; Kasuya, Kamegorō, 1859, Tsubaki Irohanayose Irotsuki; Itō, Ko’emon, 1879, Chinkashū: Light pink, striped deeper pink. double. A semi-double, 9-10 cm across, of 14-16 petals in 3 rows, the light pink background covered with deeper pink. fine veining and fading to white at petal margins with random streaks of crimson. Blooms mid-season. Sports: Moshio, Tsurikagari, Ama-obune. Synonyms: ‘Oki-no-nami-tsubaki’, ‘Oki-no-nami’(2). Different reading: ‘Okinonami’. See: Tuyama, 1966, Camellia Cultivars of Japan, pl. 16.","Oki-no-nami is a japonica camellia, registered in 1710. The flowers are semi-double in form, displaying red coloring. Each bloom features 16 petals. As a japonica camellia, Oki-no-nami is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Oki-No-Nami (look alike)' and is registered as 'Oki-no-nami'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Oki-no-nami
Omega,Camellia japonica 'Somekawa',J,Red Variegated / Rose Form Double,"JAPONICA.; Registered 1879; Densely striped or spotted dark red, (cardinal red 82/3); Itō, Ko’emon, 1879, Chinkashū: Formal double. Light pink, spotted and striped deeper pink, medium size. Yokohama Gardeners’Association Nursery Catalogue, 1891. p.8: White with carmine striped. Tuyama, 1966, Camellia Cultivars of Japan, pl.45, p.84; Tuyama, 1968, Camellias of Japan, pl.391, p.199, description, p.206: Leaves ovate-oblong to oblong-elliptic, dark green, a little plicate along the midrib, venation lightly impressed, margins obscurely crenate, petioles more or less hairy. Flowers complete double, pink, narrowly and densely striped or spotted dark red, (Cardinal red 82/3).","Somekawa is a japonica camellia, registered in 1879. The flowers are rose form double in form, displaying red variegated coloring. Growth is densely striped or spotted dark red, (Cardinal red 82/3). As a japonica camellia, Somekawa is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Omega' and is registered as 'Somekawa'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Somekawa
Oninsky ,Camellia sasanqua 'Asahi-no-sora',S,Pink / Unknown,"SASANQUA.; Registered 1898; Upright but weak; Ashizawa, 1898, Chabaika Taishū; Nihon Shubyō Cata­logue,1910: Medium size, lilac toned, pink bloom, deepening towards the petal base. Although petals are delicate and weak, very lovely and floriferous. Plant habit upright but weak. Early flowering. Originated in Japan. Synonym: ‘Morning Sky’. For colour plate see Tuyama and Yamada, 1979, Ishii’s Selected Japanese Camellias Including Sasanquas, pl.125.","Asahi-no-sora is a sasanqua camellia, registered in 1898. The flowers are unknown in form, displaying pink coloring. Growth is upright but weak. As a sasanqua camellia, Asahi-no-sora is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Oninsky' and is registered as 'Asahi-no-sora'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Asahi-no-sora
Optical Illusion,Camellia japonica 'Lovely Illusion',NRH,Pink / Semi-double,"NON-RETICULATA HYBRID.; Registered 1941; Gerbing’s Azalea Gardens Catalogue, 1941-1942: A new Camellia from Middleton Place (Middleton No.30) Semi-double, shell-pink flowers, measuring 8-10 cm across. The foliage is large, round and medium green. Growth tall. Late flowering. Originated Middleton Place, South Carolina, USA.","Lovely Illusion is a non-reticulata hybrid camellia, registered in 1941. The flowers are semi-double in form, displaying pink coloring. As a non-reticulata hybrid camellia, Lovely Illusion is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Optical Illusion' and is registered as 'Lovely Illusion'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Lovely+Illusion
Osabaw Camellia,Snow Camellia,J,Unknown / Unknown,CULTIVAR NOT FOUND: No authoritative record located in the International Camellia Register or American Camellia Society Encyclopedia for 'Snow Camellia'. Verify spelling and check for possible synonyms or local designations.,"Research was conducted for 'Snow Camellia' (listed locally as 'Osabaw Camellia' with epithet 'Snow Camellia'). The International Camellia Register (camellia.iflora.cn) was queried but returned no matching cultivar record. The American Camellia Society Encyclopedia was also checked without success. This cultivar may be an unregistered local selection, a seedling that was never formally registered, or it may be listed under a different name or spelling. Possible steps for verification: (1) Check ACS Yearbooks for historical registrations; (2) Contact the originator or local camellia society for provenance information; (3) Compare physical characteristics with known cultivars to identify possible synonyms; (4) Search specialty nursery catalogs from Nuccio's Nurseries, Camellia Forest Nursery, or Loch Laurel Nursery. (Limited information available)",
Otome White,Camellia japonica 'Optima White',J,White / Rose Form Double,"JAPONICA.; Registered 1972; Hazlewood & Jessep, 1972, Check List - Camellia Cultivars from Nursery Cata­logues: White, rose form double. Originated in Australia.","Optima White is a japonica camellia, registered in 1972. The flowers are rose form double in form, displaying white coloring. As a japonica camellia, Optima White is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Otome White' and is registered as 'Optima White'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Optima+White
Palace Princess,Camellia japonica 'Pale Princess',J,Pink / Formal Double,"JAPONICA.; Registered 1964; Spreading upright growth; SCCS., 1964, Camellia Nomenclature, p.97: Pale pink. Medium rose form to formal double. Spreading upright growth. Mid-season blooming. Originated in USA by W. Wylam, California.","Pale Princess is a japonica camellia, registered in 1964. The flowers are formal double in form, displaying pink coloring. Growth is Spreading upright growth. As a japonica camellia, Pale Princess is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Palace Princess' and is registered as 'Pale Princess'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Pale+Princess
Paul Haskee (solid),Camellia 'Paul Harkey',J,Red / Semi-double,"JAPONICA.; ACS #1822 (1982); Frank Pursel; Parentage: 5x = (C.reticulata ‘Cor­nelian’ x C.japonica Mrs D.W. Davis) x C.reticulata ‘Cornelian’; 9-year seedling, first bloomed 1979; Upright, average and rapid with dark green, heavily serrated leaves","Paul Harkey is a japonica camellia originated by Frank Pursel of Oakland, California, USA, registered in 1982 (ACS Reg. No. 1822). First published in the American Camellia Yearbook. This cultivar was bred from the cross 5x = (C.reticulata ‘Cor­nelian’ x C.japonica Mrs D.W. Davis) x C.reticulata ‘Cornelian’. Grown as a 9-year-old seedling that first bloomed in 1979. The flowers are semi-double in form, displaying red coloring. Plant growth is upright, average and rapid with dark green, heavily serrated leaves, 12. As a japonica camellia, Paul Harkey is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Paul Haskee (solid)' and is registered as 'Paul Harkey'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Paul+Harkey
Paula Deen,Camellia japonica 'Pallade',J,White / Peony,"JAPONICA.; Registered 1841; van Houtte Catalogue, 1841, 7:15. No description. Gheldorf, Const., 1844, Catalogue of Plants and Price List, p.10: Peony form, pale pink, strongly veined deep pink. Van Houtte Catalogue, 1844­-1845, 18:16: Large and beautiful flower, pink, streaked and spotted with white. Verschaffelt 1850, Nouvelle Iconographie, Book V, pl.I; Very large, peony form. Its blossoms are both imbri­cated and ruffled and it forms several hearts separated from the centre. Roseate-white with broad crimson stripes. Originated in Italy. Orthographic errors: ‘Palade’, ‘Pallas d’ltalie’.","Pallade is a japonica camellia, registered in 1841. The flowers are peony in form, displaying white coloring. As a japonica camellia, Pallade is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Paula Deen' and is registered as 'Pallade'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Pallade
Paulette Goddard,Camellia japonica 'Paulette Goddard Variegated',J,White / Semi-double,"JAPONICA.; Registered 1953; Fendig, 1953, American Camellia Catalogue; a virus varie­gated form of Paulette Goddard. Red blotched white. Originated in USA.","Paulette Goddard Variegated is a japonica camellia, registered in 1953. The flowers are semi-double in form, displaying white coloring. As a japonica camellia, Paulette Goddard Variegated is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Paulette Goddard' and is registered as 'Paulette Goddard Variegated'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Paulette+Goddard+Variegated
Pee Wee Var.,Camellia japonica 'Lee Poe',J,Pink / Anemone,"JAPONICA.; ACS #1716 (1981); W. Lee Poe Sr.; American Camellia Yearbook, 1981, p.101, Reg. No.1716: A large, medium pink fading into lighter pink in centre, anemone form, chance seedling of Tiffany, mid-season blooming. Originated by W. Lee Poe Sr., Birmingham, Alabama, USA. Average size flower is 11 cm across x 7 cm deep with 38 large and 16 small petals and 237 petaloids, yellow anthers and whitish filaments, Plant growth is average with dark green leaves, 13 cm long x 7.5 cm wide. See colour photo inside back.","Lee Poe is a japonica camellia originated by W. Lee Poe Sr. of Birmingham, Alabama, USA, registered in 1981 (ACS Reg. No. 1716). First published in the American Camellia Yearbook. It arose as a chance seedling of Tiffany, mid-season blooming. The flowers are anemone in form, displaying pink coloring. Each bloom features 237 petaloids with yellow anthers and whitish filaments, Plant growth is. Plant growth is average with dark green leaves, 13 cm long x 7. Foliage features dark green leaves, 13 cm long x 7. As a japonica camellia, Lee Poe is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Pee Wee Var.' and is registered as 'Lee Poe'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Lee+Poe
